,DIAGNOSIS_CODE,DIAGNOSIS_NAME,STD_INDICATOR,APPROVED_INDICATOR,CREATE_DATE,INPUT_CODE,INPUT_CODE_WB,DIAGNOSIS_DICT,DISEASE_SORT,CODE_VERSION
143,J98.503,纵隔肿物,1,1,29-9月 -15,ZGZW,,,,ICD10_15
148,J98.603,横膈麻痹,1,1,29-9月 -15,HGMB,,,,ICD10_15
151,J98.802,呼吸道感染,1,1,29-9月 -15,HXDGR,,,,ICD10_15
152,J98.803,呼吸道梗阻,1,1,29-9月 -15,HXDGZ,,,,ICD10_15
157,J98.902,胸腔肿物,1,1,29-9月 -15,XQZW,,,,ICD10_15
158,J98.903,胸腔占位性病变,1,1,29-9月 -15,XQZWXBB,,,,ICD10_15
165,K01.001,埋伏牙,1,1,29-9月 -15,MFY,,,,ICD10_15
166,K01.101,阻生牙,1,1,29-9月 -15,ZSY,,,,ICD10_15
168,K02.401,牙折断,1,1,29-9月 -15,YZD,,,,ICD10_15
169,K02.901,龋齿,1,1,29-9月 -15,QC,,,,ICD10_15
170,K03.201,牙酸蚀病,1,1,29-9月 -15,YSSB,,,,ICD10_15
172,K03.401,牙骨质增生,1,1,29-9月 -15,YGZZS,,,,ICD10_15
176,K04.001,牙髓炎,1,1,29-9月 -15,YSY,,,,ICD10_15
178,K04.003,急性牙髓炎,1,1,29-9月 -15,JXYSY,,,,ICD10_15
179,K04.004,慢性牙髓炎,1,1,29-9月 -15,MXYSY,,,,ICD10_15
182,K04.501,慢性根尖牙周炎,1,1,29-9月 -15,MXGJYZY,,,,ICD10_15
186,K04.702,根尖周脓肿,1,1,29-9月 -15,GJZNZ,,,,ICD10_15
187,K04.703,根尖脓肿,1,1,29-9月 -15,GJNZ,,,,ICD10_15
188,K04.801,牙根尖囊肿,1,1,29-9月 -15,YGJNZ,,,,ICD10_15
190,K05.001,急性牙龈炎,1,1,29-9月 -15,JXYYY,,,,ICD10_15
192,K05.102,增生性牙龈炎,1,1,29-9月 -15,ZSXYYY,,,,ICD10_15
193,K05.103,牙龈炎,1,1,29-9月 -15,YYY,,,,ICD10_15
194,K05.104,边缘性龈炎,1,1,29-9月 -15,BYXYY,,,,ICD10_15
197,K05.202,牙龈脓肿,1,1,29-9月 -15,YYNZ,,,,ICD10_15
198,K05.203,牙冠周脓肿,1,1,29-9月 -15,YGZNZ,,,,ICD10_15
199,K05.204,牙周脓肿,1,1,29-9月 -15,YZNZ,,,,ICD10_15
200,K05.301,冠周炎,1,1,29-9月 -15,GZY,,,,ICD10_15
201,K05.302,牙周炎,1,1,29-9月 -15,YZY,,,,ICD10_15
202,K05.303,慢性牙周炎,1,1,29-9月 -15,MXYZY,,,,ICD10_15
203,K05.501,牙周病,1,1,29-9月 -15,YZB,,,,ICD10_15
206,K06.801,牙龈出血,1,1,29-9月 -15,YYCX,,,,ICD10_15
218,K07.004,下颌骨畸形,1,1,29-9月 -15,XHGJX,,,,ICD10_15
219,K07.005,下颌角肥大,1,1,29-9月 -15,XHJFD,,,,ICD10_15
223,K07.101,Angle型错颌畸形,1,1,29-9月 -15,ANGLEXCH,,,,ICD10_15
240,K07.304,牙齿松动,1,1,29-9月 -15,YCSD,,,,ICD10_15
243,K07.601,颞颌关节综合征,1,1,29-9月 -15,NHGJZHZ,,,,ICD10_15
244,K07.601,Costen(科斯滕)综合征,1,1,29-9月 -15,COSTENKS,,,,ICD10_15
245,K07.602,颞下颌关节-疼痛-功能紊乱综合征,1,1,29-9月 -15,NXHGJTTG,,,,ICD10_15
252,C66  01,输尿管恶性肿瘤,1,1,29-9月 -15,SNGEXZL,,,,ICD10_15
260,C67.701,脐尿管恶性肿瘤,1,1,29-9月 -15,QNGEXZL,,,,ICD10_15
262,C67.901,膀胱恶性肿瘤,1,1,29-9月 -15,BGEXZL,,,,ICD10_15
263,C68.001,尿道恶性肿瘤,1,1,29-9月 -15,NDEXZL,,,,ICD10_15
279,C69.901,眼恶性肿瘤,1,1,29-9月 -15,YEXZL,,,,ICD10_15
280,C70.001,脑膜恶性肿瘤,1,1,29-9月 -15,NMEXZL,,,,ICD10_15
283,C71.001,大脑恶性肿瘤,1,1,29-9月 -15,DNEXZL,,,,ICD10_15
284,C71.002,丘脑恶性肿瘤,1,1,29-9月 -15,QNEXZL,,,,ICD10_15
285,C71.003,透明隔恶性肿瘤,1,1,29-9月 -15,TMGEXZL,,,,ICD10_15
287,C71.005,岛叶恶性肿瘤,1,1,29-9月 -15,DYEXZL,,,,ICD10_15
288,C71.006,基底节区恶性肿瘤,1,1,29-9月 -15,JDJOEXZL,,,,ICD10_15
290,C71.101,额叶恶性肿瘤,1,1,29-9月 -15,EYEXZL,,,,ICD10_15
291,C71.201,颞叶恶性肿瘤,1,1,29-9月 -15,NYEXZL,,,,ICD10_15
292,C71.301,顶叶恶性肿瘤,1,1,29-9月 -15,DYEXZL,,,,ICD10_15
293,C71.401,枕叶恶性肿瘤,1,1,29-9月 -15,ZYEXZL,,,,ICD10_15
294,C71.501,脑室恶性肿瘤,1,1,29-9月 -15,NSEXZL,,,,ICD10_15
297,C71.601,小脑恶性肿瘤,1,1,29-9月 -15,XNEXZL,,,,ICD10_15
299,C71.701,脑干恶性肿瘤,1,1,29-9月 -15,NGEXZL,,,,ICD10_15
303,C71.705,桥小脑角恶性肿瘤,1,1,29-9月 -15,QXNJEXZL,,,,ICD10_15
307,C71.801,顶枕叶恶性肿瘤,1,1,29-9月 -15,DZYEXZL,,,,ICD10_15
308,C71.802,额顶叶恶性肿瘤,1,1,29-9月 -15,EDYEXZL,,,,ICD10_15
309,C71.803,额颞顶叶恶性肿瘤,1,1,29-9月 -15,ENDYEXZL,,,,ICD10_15
313,C71.807,颅内多发性恶性肿瘤,1,1,29-9月 -15,LNDFXEXZ,,,,ICD10_15
317,C71.901,颅内恶性肿瘤,1,1,29-9月 -15,LNEXZL,,,,ICD10_15
321,C71.905,脑恶性肿瘤,1,1,29-9月 -15,NEXZL,,,,ICD10_15
322,C72.001,脊髓恶性肿瘤,1,1,29-9月 -15,JSEXZL,,,,ICD10_15
323,C72.201,嗅神经恶性肿瘤,1,1,29-9月 -15,XSJEXZL,,,,ICD10_15
328,C72.901,硬脊膜外恶性肿瘤,1,1,29-9月 -15,YJMWEXZL,,,,ICD10_15
329,C72.902,硬膜外恶性肿瘤,1,1,29-9月 -15,YMWEXZL,,,,ICD10_15
330,C73  01,甲状腺恶性肿瘤,1,1,29-9月 -15,JZXEXZL,,,,ICD10_15
335,C74.901,肾上腺恶性肿瘤,1,1,29-9月 -15,SSXEXZL,,,,ICD10_15
338,C75.101,垂体恶性肿瘤,1,1,29-9月 -15,CTEXZL,,,,ICD10_15
339,C75.102,蝶鞍内恶性肿瘤,1,1,29-9月 -15,DANEXZL,,,,ICD10_15
344,C76.002,颊部恶性肿瘤,1,1,29-9月 -15,JBEXZL,,,,ICD10_15
345,C76.003,鼻恶性肿瘤,1,1,29-9月 -15,BEXZL,,,,ICD10_15
346,C76.004,颌恶性肿瘤,1,1,29-9月 -15,HEXZL,,,,ICD10_15
347,C76.005,颈部恶性肿瘤,1,1,29-9月 -15,JBEXZL,,,,ICD10_15
353,C76.101,胸恶性肿瘤,1,1,29-9月 -15,XEXZL,,,,ICD10_15
354,C76.102,胸壁恶性肿瘤,1,1,29-9月 -15,XBEXZL,,,,ICD10_15
355,C76.103,胸腔恶性肿瘤,1,1,29-9月 -15,XQEXZL,,,,ICD10_15
356,C76.104,腋窝恶性肿瘤,1,1,29-9月 -15,YWEXZL,,,,ICD10_15
357,C76.201,腹腔恶性肿瘤,1,1,29-9月 -15,FQEXZL,,,,ICD10_15
359,C76.302,骶尾部恶性肿瘤,1,1,29-9月 -15,DWBEXZL,,,,ICD10_15
360,C76.303,腹股沟恶性肿瘤,1,1,29-9月 -15,FGGEXZL,,,,ICD10_15
361,C76.304,盆腔恶性肿瘤,1,1,29-9月 -15,PQEXZL,,,,ICD10_15
370,E53.802+G32.001*,亚急性联合变性,1,1,29-9月 -15,YJXLHBX,,,,ICD10_15
374,E53.806+G32.005*,脊髓亚急性联合变性病,1,1,29-9月 -15,JSYJXLHB,,,,ICD10_15
377,E53.809,维生素B12缺乏,1,1,29-9月 -15,WSSBQF,,,,ICD10_15
384,E55.001,佝偻病(活动性),1,1,29-9月 -15,GLBHDX,,,,ICD10_15
394,E63.901+G63.401*,营养障碍性周围神经病,1,1,29-9月 -15,YYZAXZWS,,,,ICD10_15
397,E65  01,脂肪垫,1,1,29-9月 -15,ZFD,,,,ICD10_15
403,E66.901,单纯性肥胖,1,1,29-9月 -15,DCXFP,,,,ICD10_15
404,E66.902,肥胖,1,1,29-9月 -15,FP,,,,ICD10_15
405,E66.903+N08.401*,肥胖相关性肾病,1,1,29-9月 -15,FPXGXSB,,,,ICD10_15
429,E72.101,半胱氨酸血症,1,1,29-9月 -15,BGASXZ,,,,ICD10_15
437,E72.903,低氨基酸血症,1,1,29-9月 -15,DAJSXZ,,,,ICD10_15
440,E74.001,糖原累积病,1,1,29-9月 -15,TYLJB,,,,ICD10_15
457,E75.503,胃黄色瘤,1,1,29-9月 -15,WHSL,,,,ICD10_15
465,E77.801,低蛋白血症,1,1,29-9月 -15,DDBXZ,,,,ICD10_15
467,E78.001,高胆固醇血症,1,1,29-9月 -15,GDGCXZ,,,,ICD10_15
470,E78.101,高甘油脂血症,1,1,29-9月 -15,GGYZXZ,,,,ICD10_15
471,E78.201,混合性高脂血症,1,1,29-9月 -15,HHXGZXZ,,,,ICD10_15
473,E78.501,高脂血症,1,1,29-9月 -15,GZXZ,,,,ICD10_15
482,G56.001,腕管综合征,1,1,29-9月 -15,WGZHZ,,,,ICD10_15
484,G56.102,旋前圆肌综合征,1,1,29-9月 -15,XQYJZHZ,,,,ICD10_15
485,G56.103,正中神经损害,1,1,29-9月 -15,ZZSJSH,,,,ICD10_15
487,G56.105,正中神经嵌压综合征,1,1,29-9月 -15,ZZSJQYZH,,,,ICD10_15
488,G56.201,尺神经损害,1,1,29-9月 -15,CSJSH,,,,ICD10_15
491,G56.204,尺神经炎,1,1,29-9月 -15,CSJY,,,,ICD10_15
492,G56.205,肘管综合征,1,1,29-9月 -15,ZGZHZ,,,,ICD10_15
495,G56.302,桡神经损害,1,1,29-9月 -15,RSJSH,,,,ICD10_15
499,G57.001,梨状肌综合征,1,1,29-9月 -15,LZJZHZ,,,,ICD10_15
500,G57.002,坐骨神经损害,1,1,29-9月 -15,ZGSJSH,,,,ICD10_15
503,G57.101,股外侧皮肤神经综合征,1,1,29-9月 -15,GWCPFSJZ,,,,ICD10_15
506,G57.301,腓总神经损害,1,1,29-9月 -15,FZSJSH,,,,ICD10_15
514,G57.801,手术后下肢神经粘连,1,1,29-9月 -15,SSHXZSJN,,,,ICD10_15
516,G58.001,肋间神经痛,1,1,29-9月 -15,LJSJT,,,,ICD10_15
517,G58.701,多发性单神经炎,1,1,29-9月 -15,DFXDSJY,,,,ICD10_15
519,G58.802,枕神经痛,1,1,29-9月 -15,ZSJT,,,,ICD10_15
521,G58.805,肛周神经痛,1,1,29-9月 -15,GZSJT,,,,ICD10_15
522,G58.806,耳大神经痛,1,1,29-9月 -15,EDSJT,,,,ICD10_15
523,G58.901,神经麻痹,1,1,29-9月 -15,SJMB,,,,ICD10_15
525,G60.001,腓骨肌萎缩,1,1,29-9月 -15,FGJWS,,,,ICD10_15
536,G61.001,急性免疫介导多发性神经炎,1,1,29-9月 -15,JXMYJDDF,,,,ICD10_15
537,G61.001,急性炎性脱髓鞘性多发性神经根神经病,1,1,29-9月 -15,JXYXTSSX,,,,ICD10_15
538,G61.001,吉兰-巴雷综合征,1,1,29-9月 -15,JLBLZHZ,,,,ICD10_15
546,G61.802,慢性吉兰-巴雷综合征,1,1,29-9月 -15,MXJLBLZH,,,,ICD10_15
555,G62.901,周围神经病,1,1,29-9月 -15,ZWSJB,,,,ICD10_15
556,G62.902,末梢神经炎,1,1,29-9月 -15,MSSJY,,,,ICD10_15
557,G62.903,多发性神经炎,1,1,29-9月 -15,DFXSJY,,,,ICD10_15
560,G62.906,多发性神经根炎,1,1,29-9月 -15,DFXSJGY,,,,ICD10_15
562,G70.001,重症肌无力,1,1,29-9月 -15,CZJWL,,,,ICD10_15
573,G70.907,肌无力,1,1,29-9月 -15,JWL,,,,ICD10_15
574,G70.908,神经肌病,1,1,29-9月 -15,SJJB,,,,ICD10_15
575,G71.001,肌营养不良,1,1,29-9月 -15,JYYBL,,,,ICD10_15
576,G71.002,进行性肌营养不良症,1,1,29-9月 -15,JXXJYYBL,,,,ICD10_15
587,G71.201,先天性肌病,1,1,29-9月 -15,XTXJB,,,,ICD10_15
591,G71.801,肌萎缩,1,1,29-9月 -15,JWS,,,,ICD10_15
592,G72.001,药物性肌病,1,1,29-9月 -15,YWXJB,,,,ICD10_15
596,G72.301,周期性低钾麻痹,1,1,29-9月 -15,ZQXDJMB,,,,ICD10_15
598,I74.204,腋动脉闭塞,1,1,29-9月 -15,YDMBS,,,,ICD10_15
599,I74.301,下肢动脉血栓形成,1,1,29-9月 -15,XZDMXSXC,,,,ICD10_15
600,I74.302,下肢动脉栓塞,1,1,29-9月 -15,XZDMSS,,,,ICD10_15
601,I74.303,股动脉闭塞,1,1,29-9月 -15,GDMBS,,,,ICD10_15
605,I74.402,周围动脉栓塞,1,1,29-9月 -15,ZWDMSS,,,,ICD10_15
606,I74.501,髂总动脉栓塞,1,1,29-9月 -15,QZDMSS,,,,ICD10_15
609,I74.801,脾栓塞,1,1,29-9月 -15,PSS,,,,ICD10_15
614,I74.806,锁骨下动脉闭塞,1,1,29-9月 -15,SGXDMBS,,,,ICD10_15
616,I74.901,动脉栓塞,1,1,29-9月 -15,DMSS,,,,ICD10_15
617,I74.902,多发性动脉栓塞,1,1,29-9月 -15,DFXDMSS,,,,ICD10_15
618,I77.001,后天性动静脉瘘,1,1,29-9月 -15,HTXDJML,,,,ICD10_15
620,I77.003,主动脉瘤髂静脉瘘,1,1,29-9月 -15,ZDMLQJML,,,,ICD10_15
625,I77.008,子宫旁动静脉瘘,1,1,29-9月 -15,ZGPDJML,,,,ICD10_15
629,I77.102,髂动脉狭窄,1,1,29-9月 -15,QDMXZ,,,,ICD10_15
630,I77.103,下肢动脉狭窄,1,1,29-9月 -15,XZDMXZ,,,,ICD10_15
631,I77.104,锁骨下动脉狭窄,1,1,29-9月 -15,SGXDMXZ,,,,ICD10_15
635,I77.109,动脉狭窄,1,1,29-9月 -15,DMXZ,,,,ICD10_15
641,I77.201,动脉瘘,1,1,29-9月 -15,DML,,,,ICD10_15
646,I77.207,主动脉－左心室窦道,1,1,29-9月 -15,ZDMDZXSD,,,,ICD10_15
650,I77.601,脉管炎,1,1,29-9月 -15,MGY,,,,ICD10_15
651,I77.602,下肢脉管炎,1,1,29-9月 -15,XZMGY,,,,ICD10_15
652,I77.604,血管炎,1,1,29-9月 -15,XGY,,,,ICD10_15
654,I77.606,动脉炎,1,1,29-9月 -15,DMY,,,,ICD10_15
662,I78.001,遗传性出血性毛细血管扩张,1,1,29-9月 -15,YCXCXXMX,,,,ICD10_15
663,I78.801,结肠毛细血管扩张症,1,1,29-9月 -15,JCMXXGKZ,,,,ICD10_15
664,I78.802,小肠毛细血管扩张,1,1,29-9月 -15,XCMXXGKZ,,,,ICD10_15
665,I78.803,直肠毛细血管扩张症,1,1,29-9月 -15,ZCMXXGKZ,,,,ICD10_15
666,I78.804,胃毛细血管扩张症,1,1,29-9月 -15,WMXXGKZZ,,,,ICD10_15
672,I80.101,髂股静脉血栓形成,1,1,29-9月 -15,QGJMXSXC,,,,ICD10_15
676,I80.203,下肢深静脉栓塞,1,1,29-9月 -15,XZSJMSS,,,,ICD10_15
678,I80.205,下肢深静脉血栓形成,1,1,29-9月 -15,XZSJMXSX,,,,ICD10_15
680,I80.301,下肢血栓性静脉炎,1,1,29-9月 -15,XZXSXJMY,,,,ICD10_15
681,I80.302,下肢静脉炎,1,1,29-9月 -15,XZJMY,,,,ICD10_15
682,I80.303,下肢静脉血栓形成,1,1,29-9月 -15,XZJMXSXC,,,,ICD10_15
685,I80.804,上肢静脉炎,1,1,29-9月 -15,SZJMY,,,,ICD10_15
686,I80.805,上肢血栓性静脉炎,1,1,29-9月 -15,SZXSXJMY,,,,ICD10_15
688,I80.901,静脉炎,1,1,29-9月 -15,JMY,,,,ICD10_15
689,I80.902,血栓性静脉炎,1,1,29-9月 -15,XSXJMY,,,,ICD10_15
690,I81  01,门静脉栓塞,1,1,29-9月 -15,MJMSS,,,,ICD10_15
691,I81  02,门静脉血栓形成,1,1,29-9月 -15,MJMXSXC,,,,ICD10_15
693,I82.002,布－加综合征,1,1,29-9月 -15,BDJZHZ,,,,ICD10_15
694,I82.002,肝静脉闭塞综合征,1,1,29-9月 -15,GJMBSZHZ,,,,ICD10_15
695,I82.002,Budd-Chiari综合征,1,1,29-9月 -15,BUDDCHIA,,,,ICD10_15
696,I82.003,肝小静脉闭塞,1,1,29-9月 -15,GXJMBS,,,,ICD10_15
700,I82.201,下腔静脉栓塞,1,1,29-9月 -15,XQJMSS,,,,ICD10_15
703,I82.301,肾静脉栓塞,1,1,29-9月 -15,SJMSS,,,,ICD10_15
704,I82.801,颈静脉血栓形成,1,1,29-9月 -15,JJMXSXC,,,,ICD10_15
705,I82.802,锁骨下静脉血栓形成,1,1,29-9月 -15,SGXJMXSX,,,,ICD10_15
706,I82.803,上肢深静脉血栓形成,1,1,29-9月 -15,SZSJMXSX,,,,ICD10_15
707,I82.804,颈内静脉血栓形成,1,1,29-9月 -15,JNJMXSXC,,,,ICD10_15
708,I82.805,髂外静脉栓塞,1,1,29-9月 -15,QWJMSS,,,,ICD10_15
709,I82.806,上肢静脉血栓形成,1,1,29-9月 -15,SZJMXSXC,,,,ICD10_15
710,I82.807,脾静脉栓塞,1,1,29-9月 -15,PJMSS,,,,ICD10_15
715,I82.901,静脉血栓形成,1,1,29-9月 -15,JMXSXC,,,,ICD10_15
716,I82.902,静脉栓塞,1,1,29-9月 -15,JMSS,,,,ICD10_15
717,B17.206,急性戊型病毒性肝炎,1,1,29-9月 -15,JXWXBDXG,,,,ICD10_15
727,B18.102,慢性乙型病毒性肝炎活动型,1,1,29-9月 -15,MXYXBDXG,,,,ICD10_15
728,B18.103,慢性乙型病毒性肝炎重型,1,1,29-9月 -15,MXYXBDXG,,,,ICD10_15
729,B18.104,慢性乙型病毒性肝炎活动型轻型,1,1,29-9月 -15,MXYXBDXG,,,,ICD10_15
730,B18.105,慢性乙型病毒性肝炎活动型中型,1,1,29-9月 -15,MXYXBDXG,,,,ICD10_15
731,B18.106,慢性乙型病毒性肝炎活动型重型,1,1,29-9月 -15,MXYXBDXG,,,,ICD10_15
732,B18.107,慢性乙型病毒性肝炎,1,1,29-9月 -15,MXYXBDXG,,,,ICD10_15
733,B18.201,慢性丙型病毒性肝炎迁延型,1,1,29-9月 -15,MXBXBDXG,,,,ICD10_15
734,B18.202,慢性丙型病毒性肝炎活动型,1,1,29-9月 -15,MXBXBDXG,,,,ICD10_15
735,B18.203,慢性丙型病毒性肝炎重型,1,1,29-9月 -15,MXBXBDXG,,,,ICD10_15
736,B18.204,慢性丙型病毒性肝炎活动型轻型,1,1,29-9月 -15,MXBXBDXG,,,,ICD10_15
737,B18.205,慢性丙型病毒性肝炎活动型中型,1,1,29-9月 -15,MXBXBDXG,,,,ICD10_15
740,B18.208,慢性丙型病毒性肝炎,1,1,29-9月 -15,MXBXBDXG,,,,ICD10_15
743,B18.802,慢性戊型病毒性肝炎,1,1,29-9月 -15,MXWXBDXG,,,,ICD10_15
749,B19.901,病毒性肝炎,1,1,29-9月 -15,BDXGY,,,,ICD10_15
752,B19.904,病毒性肝炎(病原不清)无黄疸型,1,1,29-9月 -15,BDXGYBYB,,,,ICD10_15
754,B19.907,病毒性肝炎(病原不清)胆汁淤积型,1,1,29-9月 -15,BDXGYBYB,,,,ICD10_15
773,B24  01,后天性免疫缺陷综合征,1,1,29-9月 -15,HTXMYQXZ,,,,ICD10_15
774,B24  01,艾滋病,1,1,29-9月 -15,AZB,,,,ICD10_15
782,B25.902,巨细胞病毒感染,1,1,29-9月 -15,JXBBDGR,,,,ICD10_15
798,B26.901,流行性腮腺炎,1,1,29-9月 -15,LXXSXY,,,,ICD10_15
800,B27.901,传染性单核细胞增多症,1,1,29-9月 -15,CRXDHXBZ,,,,ICD10_15
805,B30.901+H13.106*,病毒性结膜炎,1,1,29-9月 -15,BDXJMY,,,,ICD10_15
824,D43.201,脑交界恶性肿瘤,1,1,29-9月 -15,NJJEXZL,,,,ICD10_15
825,D43.204,颅内交界恶性肿瘤,1,1,29-9月 -15,LNJJEXZL,,,,ICD10_15
834,D44.401,颅咽管交界恶性肿瘤,1,1,29-9月 -15,LYGJJEXZ,,,,ICD10_15
836,D44.501,松果体交界恶性肿瘤,1,1,29-9月 -15,SGTJJEXZ,,,,ICD10_15
842,D45  01,真性红细胞增多症,1,1,29-9月 -15,ZXHXBZDZ,,,,ICD10_15
850,D46.901,骨髓增生异常综合征,1,1,29-9月 -15,GSZSYCZH,,,,ICD10_15
853,D47.102,骨髓纤维化,1,1,29-9月 -15,GSXWH,,,,ICD10_15
860,D47.901,淋巴组织增生性疾病,1,1,29-9月 -15,LBZZZSXJ,,,,ICD10_15
861,D48.001,骨交界恶性肿瘤,1,1,29-9月 -15,GJJEXZL,,,,ICD10_15
863,D48.003,骨肿瘤(性质未特指),1,1,29-9月 -15,GZLXZWTZ,,,,ICD10_15
871,D48.102,颈静脉交界恶性肿瘤,1,1,29-9月 -15,JJMJJEXZ,,,,ICD10_15
883,D48.116,软组织肿瘤(性质未特指),1,1,29-9月 -15,RZZZLXZW,,,,ICD10_15
894,D48.303,腹膜后肿瘤,1,1,29-9月 -15,FMHZL,,,,ICD10_15
908,D48.704,颞部交界恶性肿瘤,1,1,29-9月 -15,NBJJEXZL,,,,ICD10_15
913,D48.716,腹腔交界恶性肿瘤,1,1,29-9月 -15,FQJJEXZL,,,,ICD10_15
914,D50.001,失血性贫血,1,1,29-9月 -15,SXXPX,,,,ICD10_15
915,D50.801,小细胞低色素性贫血,1,1,29-9月 -15,XXBDSSXP,,,,ICD10_15
916,D50.901,缺铁性贫血,1,1,29-9月 -15,QTXPX,,,,ICD10_15
918,D52.001,营养性巨幼细胞性贫血,1,1,29-9月 -15,YYXJYXBX,,,,ICD10_15
919,D52.002,营养性大细胞性贫血,1,1,29-9月 -15,YYXDXBXP,,,,ICD10_15
921,G72.302,周期性麻痹,1,1,29-9月 -15,ZQXMB,,,,ICD10_15
922,G72.303,甲亢性周期麻痹,1,1,29-9月 -15,JKXZQMB,,,,ICD10_15
925,G72.801,肌麻痹,1,1,29-9月 -15,JMB,,,,ICD10_15
928,G72.901,肌病,1,1,29-9月 -15,JB,,,,ICD10_15
929,G80.001,痉挛性大脑性麻痹(瘫痪),1,1,29-9月 -15,JLXDNXMB,,,,ICD10_15
935,G80.901,脑性瘫,1,1,29-9月 -15,NXT,,,,ICD10_15
937,G81.001,迟缓性偏瘫,1,1,29-9月 -15,CHXPT,,,,ICD10_15
939,G81.901,偏瘫,1,1,29-9月 -15,PT,,,,ICD10_15
940,G81.902,脑血管病性偏瘫,1,1,29-9月 -15,NXGBXPT,,,,ICD10_15
944,G82.201,高位截瘫,1,1,29-9月 -15,GWJT,,,,ICD10_15
945,G82.202,截瘫,1,1,29-9月 -15,JT,,,,ICD10_15
946,G82.203,不全截瘫,1,1,29-9月 -15,BQJT,,,,ICD10_15
